user_id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_retweet,text
1305723921669304321,haipe ett,,Going further to the ...,2020-09-15 04:23:58+00:00,9,340,16620,False,2022-08-05 23:11:36+00:00,,Twitter for Android,False,paitrichjoseph pandji yaa kominfo salah bilang sosmed daftar blokir laah cari berita televisi sosmed blokir
169751911,RakyatBekasi.Com,"Bekasi, Jawa Barat",Official Account https://t.co/GxD7QjEXVY - Media Partner dan Advertising - ✉ redaksi@rakyatbekasi.com ☎ 08111870771,2010-07-23 02:29:40+00:00,157685,731,326,False,2022-08-05 18:52:27+00:00,,Twitter for Android,False,paypal resmi daftar pse epicgames acuh blokir kemkominfo
1354072148030091264,🇲🇨 Cah Angon 🇮🇩,jawa tengah,#nojaim #sukasuka #biarrecehanasalIstiqomahproNKRI,2021-01-26 14:22:37+00:00,2061,2515,13743,False,2022-08-05 16:51:14+00:00,,Twitter for Android,False,menteri komunikasi informatika johnny plate satelit indonesia luncur orbit roket falcon operasi space kali menteri johnny tiga satelit luncur
44897595,NATLIMBAD,"Jakarta Capital Region, Indonesia",menyesali terlahir jadi orang Indon,2009-06-05 14:00:19+00:00,638,235,4341,False,2022-08-05 20:50:01+00:00,,Twitter for iPhone,False,kominfo search engine lokal oooo seo be trippin
1320762608283045889,made from sadness,,semacam umbi-umbian | eccedentesiast,2020-10-26 16:22:49+00:00,3,233,3935,False,2022-08-05 16:38:10+00:00,,Twitter for Android,False,kelar blokir kominfo nik dijadiin npwpdahlah inpo negara duduk
77362855,lessthan3 ↗️,,The CATMAN,2009-09-26 01:30:25+00:00,221,2796,34227,False,2022-08-05 23:31:13+00:00,,Twitter Web App,False,alas dev game indie indonesia jual steam pasar international jual duit indonesia doyan free play gacha kominfo riset ngebacot anak bangsa anak bangsa
2352745627,Shera🦋,"Kota Tangerang, Banten",🇮🇩 GASRI #JalinPersatuan || 🍒 𝐈𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧 🔜 ᴡɪʟʟ ꜱʜᴏᴏᴛ ᴍʏ ꜱʜᴏᴛ ᴏɴᴄᴇ ᴀɴᴅ ᴏɴʟʏ ᴏɴᴄᴇ 🔚 ☕️,2014-02-20 05:05:28+00:00,11826,10424,26867,False,2022-08-05 17:27:36+00:00,,Twitter for Android,False,kominfo cetak generasi cakap digital platejohnny kemkominfo
19520685,Danny Rizal Darmawan,"Jakarta, Indonesia","UI/UX Designer, Illustrator, Fashion Enthusiast, Food Lover, Social Media Addict",2009-01-26 04:44:37+00:00,961,449,134,False,2022-08-05 17:49:57+00:00,,Twitter for iPhone,False,shanibudi blok suruh logicnya nyampe banget orang kominfo pakai google hapenya android kesal
71742201,ꦲꦢꦺꦤ꧀,The Terrene Plane,akun gabut hahahihi. its all about my wor(l)d,2009-09-05 06:17:49+00:00,260,285,3161,False,2022-08-05 19:52:43+00:00,,Twitter for iPhone,False,kominfo kom nya komedi
1473145105330569216,eeekodok112233,,Menyadarkan kadrun-kadrun yg tersesat 🙂,2021-12-21 04:15:56+00:00,33,65,7348,False,2022-08-05 22:59:29+00:00,,Twitter for Android,False,ffrezki septianadavit dwinaziva gunromli profesional asalasalan jabat menteri partai koalisi
1240471334754201600,Om Om Senang,,Om Om Senang,2020-03-19 02:53:23+00:00,0,0,8,False,2022-08-05 18:29:37+00:00,,Twitter for Android,False,tipuda dennysiregar hahaha install os erti kerja kominfo super ironi gagap teknologi
3141511303,antarikza,"Subang, Indonesia",Sambat jalan. Nyerah jangan!,2015-04-06 08:29:30+00:00,99,213,43519,False,2022-08-05 19:58:05+00:00,,Twitter for Android,False,hannz kangkasur didivbdi idgoonerscom ku dm bang takut kominfo kena block akwkwkwkwkkw
291486023,sadardiri,indonesia,,2011-05-02 03:08:59+00:00,147,641,6194,False,2022-08-05 23:17:58+00:00,,Twitter for Android,False,tzuyucicigua andreyosh secgron tugas teknisi tugas utama kominfo
1195853702512300032,naisè,Plat DR,imagine someday your daughter is a marriage to a guy like you,2019-11-16 23:59:07+00:00,263,581,17711,False,2022-08-05 16:35:53+00:00,,Twitter for Android,False,kominfo korupsi tembak brigadir j lenyap tasya tasyi
883813255,Adi Muhammad,"Balikpapan, Indonesia",,2012-10-16 05:59:27+00:00,140,104,1031,False,2022-08-05 20:59:46+00:00,,Twitter Web App,False,kayak kominfo kena mental guna paypal deh ketimbang steam playerkarena paypal hubung kerja steam libur main main game
1275927437272969216,BERITA POLITIK,,"Berita Terupdate.

Kenali Fakta Hadapi Realita",2020-06-24 23:03:15+00:00,541,31,152,False,2022-08-05 22:30:34+00:00,,Twitter Web App,False,paypal resmi daftar pse imoca kominfo madu racun
2352745627,Shera🦋,"Kota Tangerang, Banten",🇮🇩 GASRI #JalinPersatuan || 🍒 𝐈𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧 🔜 ᴡɪʟʟ ꜱʜᴏᴏᴛ ᴍʏ ꜱʜᴏᴛ ᴏɴᴄᴇ ᴀɴᴅ ᴏɴʟʏ ᴏɴᴄᴇ 🔚 ☕️,2014-02-20 05:05:28+00:00,11826,10424,26867,False,2022-08-05 16:58:15+00:00,,Twitter for Android,False,kominfo hasil pnbp semester iplatejohnnykemkominfo
1474775234364395521,Not,"East Java, Indonesia","Jika penting, sila tinggal pesan 👇",2021-12-25 16:13:18+00:00,6,29,17,False,2022-08-05 21:28:20+00:00,,Twitter for Android,False,partaisocmed henrysubiakto nemu tulis ente diem tum kutip tulis
1185460243565699072,#LawanCovidLawanBuzzeRp,,"Musuh para BuzzeRp rasis, penebar hoax, para koruptor, dan semua pendukungnya.",2019-10-19 07:38:48+00:00,24,94,718,False,2022-08-05 17:57:20+00:00,,Twitter for iPhone,False,henrysubiakto oom baca
1372331853084909569,Zila Ardian,"DKI Jakarta, Indonesia",Pro NKRI. #GASRI Jalin Persatuan. Jalin Persaudaraan sesama anak Bangsa. Porno Khilafah lempar tong sampah!!,2021-03-17 23:40:40+00:00,2758,1405,14351,False,2022-08-05 23:08:32+00:00,,Twitter for Android,False,hyangwisnu kemkominfo kemenkeuri ditjenpajakri aryprasetyo platejohnny zhymme miicies delardian dsyantie kominfo rp triliun persen banding periode rp triliun persen target rp triliunkemkominfo
1482738743585177601,M Ridwan,"DKI Jakarta, Indonesia",Terus berjuang untuk keluarga,2022-01-16 15:37:48+00:00,36,90,26,False,2022-08-05 21:40:23+00:00,,Twitter for Android,False,geloraco dronloe berita in kahapa takut bohir kadrontakut cuan cabutmasik percaya geloringakak dehdi tegur kominfo ajadiemingat dron bilang kominfomedia jelasdan alamat redaksi
737209214225899520,EyeCandry,"Central Java, Indonesia","3D Animator and (sometimes) Composer
Youtube Channel : https://t.co/YvfTPRydPs
and if you want to get down to bussiness ;) ceesuparman@gmail.com",2016-05-30 09:09:08+00:00,805,99,397,False,2022-08-05 23:38:54+00:00,,Twitter Web App,False,jokowi jokowi bijak kominfo tentang ham
1281275982029045760,Robert,,Newbie on twitter,2020-07-09 17:16:22+00:00,2,116,178,False,2022-08-05 22:56:35+00:00,,Twitter Web App,False,muhadklyacho website kominfo milyaran triliun bobol
1399531352312057862,aden,"Gamping, Indonesia",dor!,2021-06-01 01:01:00+00:00,58,86,476,False,2022-08-05 19:43:55+00:00,,Twitter for Android,False,jogjamnfs kominfo aksi
1372331853084909569,Zila Ardian,"DKI Jakarta, Indonesia",Pro NKRI. #GASRI Jalin Persatuan. Jalin Persaudaraan sesama anak Bangsa. Porno Khilafah lempar tong sampah!!,2021-03-17 23:40:40+00:00,2758,1405,14351,False,2022-08-05 23:17:38+00:00,,Twitter for Android,False,hyangwisnu kemenkeuri kemkominfo ditjenpajakri jokowi platejohnny prastow rilis tri uang tri kominfo setor pnbp kemkominfo
135815019,detikinet,"Jakarta, Indonesia",Akun resmi situs berita internet & teknologi . Update Banget! Contact: redaksi@detikinet.com | promosi@detik.com | instagram @detikinet,2010-04-22 08:58:47+00:00,785812,11,202,False,2022-08-05 17:00:40+00:00,['Terpopuler'],Echobox,False,populer umum menteri kominfo buka blokir origin platform distribusi game besut ea
20653807,kang ibnux #Menkominfo2024,"Gunung Sindur, Indonesia","Multi Stack Engineer. Uncertified Ethical Hacker. Cryptocurrency, Blockchain & NFT developer. but also  Cryptocurrency hater and its ecosystems",2009-02-12 04:21:06+00:00,51760,680,685,False,2022-08-05 23:27:48+00:00,,Twitter for iPhone,False,search engine mudahtapi uang server mahalini search engine karya sebar kaya eh bantu kominfoblokirkominfo
1423728560485789696,Mr. KINAN,"Kota Tangerang, Banten","Hai sayang, jangan liat media yaa nanti kamu ketagihan. 26 Virgo",2021-08-06 19:32:03+00:00,401,765,2630,False,2022-08-05 17:51:14+00:00,,Twitter for Android,False,ttunasalmonn diblock kominfo tertawa
1260288072714878976,lea,she/her,kadang west kadang koreya,2020-05-12 19:18:03+00:00,243,324,11658,False,2022-08-05 19:52:25+00:00,,Twitter for Android,False,kominfo mohon blokir situs judi asik ribut sayang judi online percaya cek wasafnya
