user_id,user_name,date,text,Sentiment
1.11E+18,Deean,2022-08-20 14:06:06+00:00,aduhhhh asik banget nnton money heist korea hpnya dipake yutuban bocil arghhhh ,Positive
1.56E+18,Anjani,2022-08-20 05:35:33+00:00,selamat sing sendeer aaaa nonton banget nonton ,Positive
7.58E+17,Coach Justin Junior,2022-08-20 04:53:24+00:00,kilas money heist cover colornya ,Positive
1.36E+18,bil,2022-08-15 09:13:02+00:00,mimpi tokyo money heist ,Positive
1574589752,si anjing kecik,2022-08-13 13:32:48+00:00,asyem nyadar money heist korea rio tokyo kisseu mimpi doanga ,Positive
1.51E+18,arah,2022-08-13 11:46:53+00:00,ngira mas kentang mas kentang lihat money heist ntu rio ngomong-ngomong miripa ,Positive
1.22E+18,,2022-08-13 11:04:18+00:00,suka banget denver film money heist korea peama kali xixixixii ,Positive
314933637,TinA A14,2022-08-21 09:13:27+00:00,casa adik papel money heist nonton pas situ ngerasa gilakk nonton ,Positive
1.36E+18,bil,2022-08-15 09:13:02+00:00,mimpi tokyo money heist ,Positive
1574589752,si anjing kecik,2022-08-13 13:32:48+00:00,asyem nyadar money heist korea rio tokyo kisseu mimpi doanga ,Positive
1.22E+18,,2022-08-13 11:04:18+00:00,suka banget denver film money heist korea peama kali xixixixii ,Positive
95021668,,2022-08-22 15:05:02+00:00,selamat ending film money heist ,Positive
1.36E+18,bil,2022-08-15 09:13:02+00:00,mimpi tokyo money heist ,Positive
1574589752,si anjing kecik,2022-08-13 13:32:48+00:00,asyem nyadar money heist korea rio tokyo kisseu mimpi doanga ,Positive
153315844,Adrian Pampam,2022-08-23 01:10:29+00:00,rumah sambo beneran bunker uang ratus milyar keren kali series money heist ,Positive
1.11E+18,miw,2022-08-20 17:37:23+00:00,cinta sherlock sd koleksi novela ,Positive
58235060,Nelsa,2022-08-20 14:23:20+00:00,kak keren banget nicknya ,Positive
1.36E+18,bil,2022-08-15 09:13:02+00:00,mimpi tokyo money heist ,Positive
9.52E+17,oA A1A A1A,2022-08-24 14:12:48+00:00,series cakep sih cast money heist main ,Positive
7.92E+17,Florence,2022-08-24 11:29:19+00:00,pas sana kaya cosplay per money heist ,Positive
3034829006,Andi,2022-08-24 11:27:13+00:00,genre money heist moga film jiwa onepiece head to head avatar ganti deh ,Positive
1.25E+18,naznaz,2022-08-24 10:32:29+00:00,sumpah lihat puig lin money heist ,Positive
1.53E+18,HAN,2022-08-24 08:54:31+00:00,nonton money heist nuna keren banget asli dahk ,Positive
1.52E+18,panpan,2022-08-24 07:11:11+00:00,sadar nonton squid game mikirnya money heist yaaa ,Positive
1.09E+18,Blake,2022-08-24 02:28:35+00:00,series noona money heist sana keren banget cool city yeoja habis saranin series film noona oke banget ,Positive
1.31E+18,LGI DIVING JANGAN DIBALES DLU ATAU KMU KUPATOK,2022-08-24 01:48:59+00:00,nonton coba nonton money heist ,Positive
1469023782,,2022-08-24 01:29:56+00:00,the call money heist sabar tunggu money heist season suka banget karakter tokyo ,Positive
1.33E+18,Rachel Jun DIVING AKBAR,2022-08-24 00:40:49+00:00,the call merah alias nengplik money heist korean nengplik romcom nonton nothing serious ,Positive
153315844,Adrian Pampam,2022-08-23 01:10:29+00:00,rumah sambo beneran bunker uang ratus milyar keren kali series money heist ,Positive
1.48E+18,Odi,2022-08-20 14:34:59+00:00,enggaak nonton money heist korea kiyowo banget ,Positive
8.29E+17,clau,2022-08-17 07:07:29+00:00,dearest sender in mood nonton movie sibuk nonton kayang hmma ,Positive
9.84E+17,jakA,2022-08-29 17:19:40+00:00,money heist wkwkwk ,Positive
