user_id,user_name,date,text,Sentiment
24668342,Karlina Octaviany,2022-09-21 10:40:23+00:00,omggggg cocooo banget judul 12 wakaka money heist melankolis tragis ,Positive
2681164664,nongnong,2022-09-25 13:53:35+00:00,dynasty family drama hibur sih hahaha nonton money heist stranger things coba deh iya banyakk tertawa ,Positive
1.30E+18,kynA free tagA,2022-09-25 11:15:39+00:00,nonton money heist original nya sukak banget remake korea nya pliss season nya cepetin gasabara ,Positive
1.32E+18,,2022-09-24 00:23:57+00:00,kelar money heist bingung nonton yh ,Positive
1.00E+18,japoy,2022-09-23 09:44:17+00:00,oh mah indah pintar money heist ,Positive
285948654,BUGGY DOUKE CLOWN,2022-09-23 05:29:21+00:00,money heist korea seru gaesz sandera suruh flashmob pinkvemom tertawa ,Positive
1.22E+18,fay A14,2022-09-21 17:17:12+00:00,ui wkwkwkwkkw iya latih rancang money heist ,Positive
8.15E+17,sha semi ia,2022-09-18 15:31:50+00:00,lmao im such couch potato today marathon money heist korea hhhhh lambat sih bomat deh ,Positive
1.32E+18,Pakemble,2022-09-18 13:01:42+00:00,iya hahaha ngomong-ngomong suara kaya lin money heist ,Positive
2509616935,nyasha girazvinhu,2022-09-17 19:01:07+00:00,series iya yainzi money heist yakazopera seia asking for friend ,Positive
1.30E+18,kyn free taga,2022-09-25 11:15:39+00:00,nonton money heist original nya sukak banget remake korea nya pliss season nya cepetin gasabar ,Positive
1.25E+18,pe,2022-09-24 02:37:53+00:00,pas nonton bingung series japan yahh pas kamerad muncul langsung oh iya money heista ,Positive
1.47E+18,yasmin A14,2022-09-22 16:46:00+00:00,tudum korea september kst squid game hwang hyuk money heist korea lee hyun woo ,Positive
1.44E+18,kenny,2022-09-27 17:33:16+00:00,trnyata main elite bnyak money heist mkin gamon guea ,Positive
8.06E+17,Yoona,2022-09-27 12:17:49+00:00,halo eonnie nyaranin money heist seru banget eonn ,Positive
155131896,RaA A1A,2022-09-24 10:12:39+00:00,series sih nonton money heist asli ,Positive
1.30E+18,A1A AoA A12A,2022-09-28 19:08:56+00:00,nonton series spanyol elite amp money heist ,Positive
1.33E+18,,2022-09-28 10:05:52+00:00,suka tokyo pas money heist ,Positive
1.26E+18,aan,2022-09-28 07:55:57+00:00,suka money heist korea inspector cakep banget ampuna ,Positive
1.44E+18,kenny,2022-09-27 17:25:32+00:00,nnton elite risih banget miguel anying money heist keren coka ,Positive
1.44E+18,AboutMalang com,2022-09-24 11:34:04+00:00,sosok karakter kunci money heist korea ,Positive
1.26E+18,aan,2022-09-28 07:55:57+00:00,suka money heist korea inspector cakep banget ampun ,Positive
1.44E+18,kenny,2022-09-27 17:33:16+00:00,trnyata main elite bnyak money heist mkin gamon ,Positive
1.14E+18,Apray,2022-09-29 12:04:37+00:00,jaket merah deh outfit money heist nyanyi bella ciao ,Positive
152967243,ojA gA,2022-09-29 03:29:35+00:00,lambat banget sihh nonton money heist korea wkwkwk ,Positive
1.14E+18,Apray,2022-09-29 12:04:37+00:00,jaket merah deh outfit money heist nyanyi bella ciao ,Positive
1.56E+18,Lee Dahee,2022-09-30 03:11:41+00:00,hello jongseo iya nonton money heist ,Positive
1.57E+18,JooA,2022-09-27 02:32:10+00:00,sadar main money heist iya ,Positive
1.11E+18,,2022-10-02 14:17:10+00:00,iya allah lupa masker cuci muka daritadi asik nonton money heist ,Positive
215568626,Zora,2022-10-02 11:07:24+00:00,serial spanyol money heist casa adik papel tayang netflix iya ,Positive
1.41E+18,ghin ngantuk,2022-10-02 02:51:06+00:00,money heist ngegantung banget plis ,Positive
559220359,yA,2022-09-30 12:49:27+00:00,kelar nonton money heist versi korea beranda andai pawat peran rio hacker handal denver pinter peduli orang ao ,Positive
2495472949,Amour Meyo,2022-09-28 04:44:19+00:00,hahaha aku kucing pakai topeng pei money heist ,Positive
8.26E+17,A34 Yeonjun,2022-09-28 04:40:15+00:00,krena suka film money heist yh kduanya nyaman sok bkan tipe suka ntu kayak tertawa sneng banget ktemu chavales dn prof orang nya pda welcome pda wras jmet senank mora cba cntik ,Positive
559220359,ya,2022-09-30 12:49:27+00:00,kelar nonton money heist versi korea beranda andai pawat peran rio hacker handal denver pinter peduli orang ,Positive
1.04E+18,Mata Milenial Indonesia,2022-09-30 08:30:00+00:00,syuting serial berlina money heista oktober baca lengkap ,Positive
1.42E+18,DinnieA,2022-10-02 23:52:22+00:00,suka film thriller nich sabi wu nonton bareng xixixixixixixixia ,Positive
1.21E+18,firaaA A34,2022-10-02 22:54:19+00:00,film ter menang lihat ,Positive
605182656,FEBRI TRANSLATOR,2022-10-02 21:56:09+00:00,mudah mudah film mu sepi su ,Positive
1.15E+18,zhrh,2022-10-02 21:47:44+00:00,kangen film lucu tertawa ,Positive
1407878864,Belalang Kupu Kupu,2022-10-02 20:14:34+00:00,yea jarang nonton film film dokumenter tarik mata palagi dokumenter teliti tikus kemudi im all ears ,Positive
1.51E+18,Elisyana,2022-10-02 18:11:46+00:00,suka nonton film ,Positive
1.03E+18,Ale,2022-10-03 23:57:53+00:00,bagus banget tebak visual oke niat banget bkin film ,Positive
518099580,SECRET KEY,2022-10-03 23:52:44+00:00,bsgus amp puji reviewer film rilis ,Positive
721559868,md,2022-10-03 23:22:21+00:00,nonton wooii banget film nyaaa ,Positive
1.57E+18,Ryo,2022-10-03 23:18:42+00:00,iya tuhan nantiin banget film undur banget ,Positive
1.07E+18,Angie,2022-10-03 20:45:23+00:00,kelar nonton film jam gin ,Positive
1.48E+18,badA,2022-10-03 16:57:41+00:00,keren banget film keren ,Positive
1.13E+18,,2022-10-03 16:56:32+00:00,film ku rewatch tertawa ,Positive
1.29E+18,,2022-10-03 16:41:38+00:00,seru bangeeet suka film action adventure gituuuu ,Positive
1.14E+18,BMSA,2022-10-03 16:38:22+00:00,plis suka bnget film ,Positive
1.57E+18,Mil 14,2022-10-03 16:24:38+00:00,habis nonton film tetep ngang ngeng ngong alias paham anjirr si maksud ,Positive
2183456790,Paqeeeh,2022-10-03 17:37:24+00:00,cinta money heist garis keras sabar banget sih pen nonton lin cuy karakter favorit ,Positive
495658860,bubuk oreo,2022-10-03 14:28:27+00:00,woho lin karakter money heist fav ,Positive
59979374,Masdha FM,2022-10-03 08:01:26+00:00,tonton money heist kumpul yukk siapin mental sambut season baru money heist ,Positive
2183456790,Paqeeeh,2022-10-03 17:37:24+00:00,cinta money heist garis keras sabar banget sih pen nonton lin cuy karakter favorit ,Positive
1.01E+18,Drama Menfess,2022-10-03 14:30:14+00:00,kdma money heist korea kabar sih tayang ,Positive
16,del,2022-07-30 10:45:10+00:00,iya film jual gaserua ,Positive
48,nda,2022-07-30 10:40:00+00:00,film komedi lumayan myself prefer actionnya rasa banget tegang waha sih nonton beneran cant close my mouth once the action scenes staed ,Positive
225,elje detektif,2022-07-30 10:06:54+00:00,kyo film makhluk hepi deh sabar iya yuk stana ,Positive
