user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
kia✨,canada,"don't disturb, this is kia's comfort zone.",2019-11-30 11:52:49+00:00,979,1032,1498,FALSE,2022-06-24 08:32:44+00:00,w malah gatau ada film ini😢 https://t.co/nq8pJDaeD3,,Twitter for Android,FALSE
ֺ֮Rey,"he/him,  19",burn ✹ pine ✹ i perish,2018-10-04 07:21:04+00:00,982,1034,1807,FALSE,2022-06-24 08:32:44+00:00,duh maaf gatot gue malah nonton the doll 3 soalnya waktu itu nontonnya ngedadak jadi cari film yang jamnya deketan :( https://t.co/JWrchfvQ9L,,Twitter for Android,FALSE
oyen,,,2019-04-19 03:56:35+00:00,675,698,992,FALSE,2022-06-24 08:32:34+00:00,"@KuroKaitou @ToTheBooooone @Yo666i @Strategi_Bisnis @WatchmenID Ga jg, film yg rilis brg KKN ada yg gagal juga. Tayang sama2 lebaran tp ada yg gagal, ada yg sukses",,Twitter for Android,FALSE
el,,campur campur,2020-05-20 08:49:26+00:00,679,1580,65855,FALSE,2022-06-24 08:32:21+00:00,"Mau nntn film thriller lagi hehehe doakan semoga ga kambuh tiba"" kayak panic attack lagi",,Twitter for Android,FALSE
Ajeng ☀️🌻☁️,Hogwarts,Akun multifungsi,2011-02-24 07:17:45+00:00,483,1966,93635,FALSE,2022-06-24 08:32:15+00:00,"Inget filmnya ga? 
Main Hoon Na tuh salah satu film fav aku https://t.co/vChrZYK2gT",,Twitter for Android,FALSE
αvis,he/him,"if u see this account, you should to run",2020-12-02 00:08:55+00:00,1013,1063,6634,FALSE,2022-06-24 08:32:06+00:00,gila sih interstellar film fiksi sains terkeren😨😨,,Twitter for iPhone,FALSE
Kompas.com,Jakarta,"Jernih Melihat Dunia | Berita Indonesia Terkini, Akurat, dan Terpercaya",2009-03-08 19:32:04+00:00,8512550,29,133,FALSE,2022-06-24 08:32:03+00:00,Berikut lima alasan wajib nonton film keluarga Cemara 2. https://t.co/mKgQskRZPt,,dlvr.it,FALSE
Valar Morghulis,Klaten - Bandung,love nature & natural,2012-01-19 13:01:09+00:00,306,252,30,FALSE,2022-06-24 08:31:55+00:00,"Terlalu banyak brand sponsor nampil di film ga si? 
Berasa nonton iklan produk 🙏 https://t.co/91l8JoTxEV",,Twitter for Android,FALSE
cim 🪐,xh & khhrnb,still missing dean and jooyeon,2021-09-19 09:45:35+00:00,291,300,2906,FALSE,2022-06-24 08:31:45+00:00,kak @kangmasbri ini kisah nyata yang film nya kak chan rekomin tadi gasiii https://t.co/mhmJPw5vdB,,Twitter Web App,FALSE
ramon,,"because fangirling-thing just for fun, then let me enjoy the moments. |
P.O Case Album ada link bio ya yorobun",2011-05-29 04:23:20+00:00,220,260,1796,FALSE,2022-06-24 08:31:45+00:00,@sigercep_ @moviemenfes Percuma mas kalau bagus banget tp khalayak gak tau. Yg perlu itu kan massa tahu soal ini film ada apa enggak. Film yg kamu blng bucin gajelas dan glowing itu totalitas dalam memperkenalkan filmnya ke publik jd ya rame yg nonton.,,Twitter for Android,FALSE
