Unnamed: 0,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
0,K-Drama Menfess,Rules 👉,"Autobase for K-Drama, K-Movies, the actors & actress lovers. Use •KDM• for trigger. Pengaduan @kdrama_contents. Sub Base @korcinema_fess",2018-06-29 06:46:32+00:00,565598,12540,49,FALSE,2022-06-23 07:47:02+00:00,•kdm• rekom film/drakor yg ada z0mbi nya dong gaiss thanks!,,tokdrama,FALSE
0,Mr. speaker 🇷🇼,Rwanda,"|Permanent vibes | stories
                                                               cheers🥂 friends and to music 🎶",2021-02-05 21:13:31+00:00,1096,974,7350,FALSE,2022-06-23 07:46:40+00:00,@Uramenye Film itangira bateruye isanduku mu bitaro inspiration nandika verse niyo ingabanya amaraso,,Twitter for Android,FALSE
0,Nera,Andromeda,mulfad {||} Not for homophobic {||} for Lee Chan,2021-05-17 00:57:18+00:00,176,346,10517,FALSE,2022-06-23 07:46:39+00:00,Ada anak broken home yg nonton film tentang keluarga harmonis wkwk,,Twitter for Android,FALSE
0,Zigi,,https://t.co/PeojiTiDHp adalah website entertainment dan lifestyle untuk gen Z dari Katadata Media Network.,2011-04-19 08:30:18+00:00,8518,2,1,FALSE,2022-06-23 07:46:35+00:00,"Dibuat oleh penulis misterius pengguna nama ONE, manga One Punch Man digambarkan kreator Yusuke Murata. https://t.co/SLvUGlNJVw",,dlvr.it,FALSE
0,Zigi,,https://t.co/PeojiTiDHp adalah website entertainment dan lifestyle untuk gen Z dari Katadata Media Network.,2011-04-19 08:30:18+00:00,8518,2,1,FALSE,2022-06-23 07:46:33+00:00,"Fakta film The Black Phone, cerita horor yang diadaptasi dari salah satu tulisan Stephen King. Tayang perdana pada 24 Juni 2022. https://t.co/gV4daUt7U5",,dlvr.it,FALSE
0,budbud,Not in ur heart,"R A N D O M H U M A N 
Kpop, Kdrama, Pageant, Western Enthusiast and sometime random things.",2022-05-25 13:12:24+00:00,221,245,479,FALSE,2022-06-23 07:46:10+00:00,"@lucascuy banyak film yg mulai tayang yee, have fun wak",,Twitter Web App,FALSE
0,SW.,"Roleplayer, Eloqunoffs.",The magnificent form of God’s favorite lined with misery. (2000),2020-03-31 14:41:05+00:00,370,241,95,FALSE,2022-06-23 07:46:04+00:00,@PosieIIe SARAN FILM NUNAAA NYANG BAGUS. Kalo gak series netflix ngga papa 😏 BTW KENAPA GAK SUKA ALPUKAT.. ALPUKAT BEST BOY,,Twitter for Android,FALSE
0,Meh hee do,Indonesia,"93 : 7 | Just an ordinarry little girl with big dream✨ Be Positive ✨ mostly about story of my life aka sambat, movie/series, kpop especially Day6 OT5 and NCT💚",2012-10-01 07:23:25+00:00,237,359,42834,FALSE,2022-06-23 07:45:49+00:00,bisa mengatot🤣 think bout this film gatotkaca underrated banget padahal produksinya apik.,,Twitter for Android,FALSE
0,aya🧚🏻‍♀️,she/her • 22,𝘵𝘩𝘪𝘴 𝘶𝘴𝘦𝘳 𝘦𝘪𝘵𝘩𝘦𝘳 𝘴𝘪𝘮𝘱𝘪𝘯𝘨 𝘰𝘳 𝘴𝘩𝘪𝘵𝘱𝘰𝘴𝘵𝘪𝘯𝘨 𝘰𝘳.. 𝘣𝘰𝘵𝘩 𝘢𝘵 𝘵𝘩𝘦 𝘴𝘢𝘮𝘦 𝘵𝘪𝘮𝘦?,2020-09-26 19:22:46+00:00,185,233,352,FALSE,2022-06-23 07:45:18+00:00,@moviemenfes 100000/10 salah satu film yang nontonnya bikin nangis bgt sampe mau copot mata. rewatch berapa kalipun bakal tetep sama sedihnya kayak pertama nonton😭👍,,Twitter for Android,FALSE
0,Mas Je,,Pecinta teh pucuk II  https://t.co/8MGJx7CWEr,2021-08-17 14:14:45+00:00,195,138,873,FALSE,2022-06-23 07:45:07+00:00,Luar biasa abang bene ini! Yok nonton film indonesia https://t.co/qQay7a2asY,,Twitter for Android,FALSE
0,Muslimah News Com,,Dapatkan update berita dan informasi Islami dari kami di akun @muslimahnewscom | #BerkaryaUntukUmat,2021-09-06 00:12:46+00:00,6901,0,0,FALSE,2022-06-23 07:45:04+00:00,"MuslimahNews – Lightyear, film terbaru produksi Pixar dan Disney yang menceritakan petualangan luar angkasa Kapten Buzz, menuai kritik. Beberapa adegan dalam film itu memperlihatkan aktivitas kaum pelangi, padahal film tersebut dikonsumsi oleh anak-anak.
https://t.co/n50zJA9UYZ https://t.co/DG16FFE1g7",,Twitter for Android,FALSE
0,Kofindo,Semarang - Indonesia,official akun #Kofindo | Bukan komunitas dan bukan kritikus film | email : dotsemarang@gmail.com | Created by @dotsemarang,2012-04-12 09:14:55+00:00,3258,39,22,FALSE,2022-06-23 07:45:00+00:00,"Abis cek website 𝘧𝘪𝘭𝘮𝘪𝘯𝘥𝘰𝘯𝘦𝘴𝘪𝘢.𝘰𝘳.𝘪𝘥 (23/6/22), film Naga Naga Naga jumlah penontonnya tidak ada dalam daftar 15 film. 

Film yang ada diurutan 15 jumlahnya 170 ribuan, apakah film Naga Naga Naga di bawah itu jumlahnya
https://t.co/JNgpXYlhWg",,Twitter Web App,FALSE
0,fil~,,mood suka ga jelas,2012-12-27 05:58:07+00:00,2066,1911,28552,FALSE,2022-06-23 07:44:29+00:00,"@zeemayoshi Iya bener bgt, apalagi aku type org yg ga berani nonton film horor eh malah nonton dsmom horornya dpt bgt.",,Twitter for Android,FALSE
0,Portal Bangka Belitung Pikiran Rakyat,"Bangka Belitung, Indonesia","Media Pemberitaan Portal Bangka Belitung Part of Pikiran Rakyat Media Network
#bangkabelitung #pangkalpinang #sungailiat #viral #trending",2021-06-10 06:20:01+00:00,422,10,112,FALSE,2022-06-23 07:44:20+00:00,"NONTON Film Marvel Lewat Thor Love and Thunder 2022, Kembalinya Jand Foster, Berikut Fakta TERUPDATE https://t.co/cnhD0Hh5In",,Twitter for Android,FALSE
0,rizka,rumahtaejinkook,"taejin🤝kookjin, a lil' bit namjin🤏🏻 https://t.co/ommBj5X5zy | tae/kook!top, jin!bott | isinya khusus au💜🤗 | 02L",2020-11-13 23:47:26+00:00,529,145,4341,FALSE,2022-06-23 07:44:14+00:00,Kaget bangettt kirain segs education tuh film pelajaran yang bener-bener ngajarin edukasi ternyata😥,,Twitter for Android,FALSE
0,Dela,"Kota Surabaya, Jawa Timur",Survive,2012-04-10 02:11:08+00:00,403,166,1180,FALSE,2022-06-23 07:44:09+00:00,"Bebas nonton beragam film seru dengan VOD NOMO pada layanan IndiHome! Ubah layar gadget-mu menjadi layar bioskop mulai Rp 48.000,- / bulan. Yuk streaming NOMO di UseeTV GO sekarang. #AktivitasTanpaBatas #InternetnyaIndonesia #IndiHomeMbois",,Twitter Web App,FALSE
0,Ahmad Faisal,"Jakarta, Indonesia",Was born to be a Juventini.,2011-12-29 04:42:41+00:00,260,476,13579,FALSE,2022-06-23 07:44:04+00:00,"@heartocage @kucingpetelur @Bang_Eri @Strategi_Bisnis Biasanya orang yg nunggu review itu ya dia liat reviewernya juga. Diliat dr 10 film terbaik menurut A, kalo banyak yg sama, berarti seleranya kemungkinan besar sama, jadinya ya kesananya tinggal ngikut",,Twitter for Android,FALSE
